conv_id	prompt_pl	prompt	context	mood	mood_idx	sentiment	sentiment_idx
hit:251_conv:502	Kiedyś byłem naprawdę zawstydzony na randce z dziewczyną. Potknąłem się i upadłem na twarz!	I was once really embarrassed on a date with a girl. I tripped and fell flat on my face!	embarrassed	guilt	6	bad	1
hit:3234_conv:6469	Mam nadzieję, że mój brat zbliża się do moich urodzin. Jest zawsze zajęty pracą	I am hoping my brother makes my birthday coming up. He is always busy with work	hopeful	confidence	1	good	0
hit:1374_conv:2748	Jestem wdzięczny mojej rodzinie, wiele dla mnie znaczą, nawet jeśli nie są perfekcyjne	I am grateful for my family, they mean a lot to me even if they are not perfect by any stretch	grateful	happiness	0	good	0
909-3	W jakim to budynku jest?	What building is it in ?	no emotion	neutral	8	neutral	2
hit:3541_conv:7083	Byłem szczęśliwy widząc, że któregoś dnia udało mi się zdobyć nowego zwierzaka	i was happy to see that i was able to get a new pet the other day	joyful	happiness	0	good	0
hit:1995_conv:3990	Kiedyś wygrałem w kasynie 2500 $.	Once, I won $2500 at the casino.	joyful	happiness	0	good	0
4994-4	mój szef powiedział mi, że mogę albo wrócić do domu wcześniej, albo zrobić sobie dłuższą przerwę obiadową innego dnia, więc postanowiłem zaczekać i innym razem zrobić długą przerwę.	my boss told me that I could either go home early or take a long lunch break another day , so I decided to wait and take a long lunch break another time .	no emotion	neutral	8	neutral	2
hit:8181_conv:16363	Przyjęcie do szkoły moich marzeń. Studiuję administrację biznesową.	Getting accepted to the school of my dreams. I'm studying business administration.	joyful	happiness	0	good	0
hit:7164_conv:14329	Mam nadzieję, że dostanę pracę, o którą aplikowałem w zeszłym tygodniu	I hope i get the job i applied for last week	hopeful	confidence	1	good	0
5026-14	Musisz wypełnić ten formularz, proszę pani.	You have to fill out this form , ma'am .	no emotion	neutral	8	neutral	2
hit:880_conv:1761	Zamawiam lunch dla siebie, a nie dla swoich dzieci. Źle się czuję.	I'm about to order lunch for myself and not my kids. I feel bad.	guilty	guilt	6	bad	1
hit:6863_conv:13726	Widzę teraz tyle śmieci w mojej szkole ...	I am seeing so much litter these days around my school...	annoyed	anger	3	bad	1
hit:3180_conv:6361	Byłem zasmucony, widząc Lebrona Go	I was saddenned to see Lebron Go	disappointed	sadness	5	bad	1
hit:11442_conv:22885	Mój przyjaciel był w salonie tatuażu i miał tam być około 9 godzin. Polegała na mnie, jeśli chodzi o zdobycie jej jedzenia i odprowadzenie jej do domu, co zrobiłem.	My friend was at a tattoo parlor was supposed to be there for about nine hours. She relied on me to get her food and escort her home, which I did.	faithful	other_good	2	good	0
hit:6678_conv:13357	Jestem bardzo dumna z moich córek.	I'm very proud of my daughters.	joyful	happiness	0	good	0
hit:12007_conv:24015	Moja siostra właśnie urodziła swoje pierwsze dziecko.	My sister just had her first baby.	joyful	happiness	0	good	0
hit:6458_conv:12916	Chcę znaleźć nową pracę.	I want to get a new job.	hopeful	confidence	1	good	0
hit:9376_conv:18752	Naprawdę nie lubię wody, nie umiem pływać.	I really do not like water, I can't swim.	afraid	fear	4	bad	1
hit:8571_conv:17143	Jestem zmęczony byciem singlem. Minęły już dwa lata	I am tired of being single. Its been two years now	lonely	sadness	5	bad	1
hit:7658_conv:15317	Moja córka idzie na uniwersytet. Jestem taki szczęśliwy.	My daughter got is going to university. I'm so happy.	proud	other_good	2	good	0
hit:6223_conv:12447	Pracowałem z moimi miotaczami przez cały rok. i to był czas dogrywki, wiedziałem, że są gotowi	i had worked with my pitchers all year. and it was playoff time i knew they were ready	prepared	confidence	1	good	0
hit:1990_conv:3981	Właśnie dowiedziałem się, że mój przełożony zatwierdził dla mnie podwyżkę pensji od przyszłego tygodnia! To było zupełnie nieoczekiwane i jestem zachwycony!	I just found out that my supervisor approved a pay increase for me starting next week!  It was completely unexpected and I am elated!	excited	happiness	0	good	0
hit:7173_conv:14347	W zeszłym tygodniu przez mój obszar przeszło tornado	A tornado came through my area last week	terrified	fear	4	bad	1
hit:2922_conv:5844	Tak się cieszę, że w końcu wszystko się ułożyło. W końcu jestem w dobrym miejscu.	I am so happy that everything is finally falling into place. I am finally in a good place.	grateful	happiness	0	good	0
6976-3	Albo możemy zadzwonić jutro.	Or we can call you tomorrow coming .	no emotion	neutral	8	neutral	2
hit:1477_conv:2954	Byłem bardzo szczęśliwy, kiedy tata kupił mi ciężarówkę. To była tylko miła niespodzianka	I was so happy when my dad got me a truck. It was just a nice surprise	grateful	happiness	0	good	0
hit:261_conv:523	Odmówiono mi stanowiska asystenta w pracy. Przez ostatnie 4 lata w tym teście uzyskałem lepsze wyniki niż rzeczywisty główny trener.	I was turned down an assistant training position at work. For the past 4 years I have scored higher than the actual head trainer on this test.	disappointed	sadness	5	bad	1
hit:9429_conv:18859	Przygotowuję się do przeglądu pracy w połowie roku.	I am getting ready for my mid year work review.	prepared	confidence	1	good	0
hit:6282_conv:12564	Mój pies bzykał się wczoraj na dywanie. Byłem taki wkurzony!	My dog crapped on the rug yesterday. I was so peeved!	annoyed	anger	3	bad	1
hit:1132_conv:2265	Cieszyłem się, że moja siostra została zwolniona z pracy. To źle.	I was happy my sister was fired from her job. Thats bad.	ashamed	guilt	6	bad	1
hit:2078_conv:4156	Musiałem wynieść śmieci zeszłej nocy, a torba pękła w drodze na drogę. Zapach był taki okropny.	I had to take out the trash last night and the bag busted open on the way to the road. The smell was so awful.	disgusted	other_bad	7	bad	1
hit:8940_conv:17881	Jestem człowiekiem o prostym guście. Nawet gdybym był obrzydliwie bogaty, nie zastanawiałbym się dwa razy nad przejazdem przez McDonald's, gdybym się spieszył, aby gdzieś się dostać.	I am a man of simple taste.  Even if I were filthy rich I wouldn't think twice about going through a McDonald's drive thru if I was in a rush to get somewhere.	content	happiness	0	good	0
hit:2620_conv:5240	Pewnego razu zobaczyłem ducha w swoim salonie. Byłem absolutnie przerażony.	One time I saw a ghost in my living room.  I was absolutely terrified.	afraid	fear	4	bad	1
hit:11135_conv:22271	Dawno, dawno temu mój samochód zepsuł się w środku wzniesienia w nocy o 14.00 nie ma nikogo, kto mógłby mi pomóc. w czasie, gdy pracowałem, bóg, nagle jeden samochód podjechał do mnie i pomógł mi podnieść samochód.	once upon a time my car was break down in middle of the high way at night 2 pm there is no one else to help me. on the time i was workshiped god suddenly one car was came infront of me and help me to lift my car .	trusting	other_good	2	good	0
hit:1637_conv:3275	Wczoraj mój współpracownik złapał awans, do którego byłam w kolejce. Byłem dość szalony.	Yesterday, my co-worker nabbed the promotion that I was in line for. I was quite mad.	jealous	other_bad	7	bad	1
hit:3284_conv:6569	Czuję się teraz taka samotna.	I feel so alone these days.	lonely	sadness	5	bad	1
hit:4594_conv:9189	Byłem bardzo wściekły, kiedy zostałem zwolniony w zeszłym roku.	I was pretty mad when I got fired last year.	angry	anger	3	bad	1
hit:11739_conv:23479	Mam wszystko spakowane i gotowe na mój wyjazd na kemping w ten weekend. Powinien być świetny czas.	Got everything packed and ready for my camping trip this weekend.  Should be a great time.	prepared	confidence	1	good	0
hit:5865_conv:11730	W zeszłym tygodniu musiałem zdać bardzo ważny test. Spędziłem tyle czasu na nauce, że wiedziałem na pewno, że dam sobie radę!	I had to take a very important test last week. I spent so much time studying for it that I knew for sure I was going to ace it!	prepared	confidence	1	good	0
hit:8975_conv:17951	Bardzo podoba mi się torba Chanel mojego przyjaciela, ale nigdy nie wydałbym tak dużo pieniędzy na akcesorium	I really like my friend's Chanel bag, but I would never spend that much money on an accessory	jealous	other_bad	7	bad	1
hit:5025_conv:10050	Wiem dobrze, że przed wyjazdem zamknąłem drzwi. Zastanawiam się, jak się tam dostali	I know very well that I locked the door before I left I wonder how they got in	confident	confidence	1	good	0
hit:5329_conv:10659	Widziałem szczura biegnącego wzdłuż linii energetycznej za moim domem.	I saw a rat running down the power line behind my house.	disgusted	other_bad	7	bad	1
hit:5954_conv:11909	W przyszłym miesiącu wybieram się z przyjaciółmi w rejs. Nie mogę się doczekać!	I am going on a cruise next month with some friends. I cannot wait!	excited	happiness	0	good	0
hit:6267_conv:12535	Tak się teraz boję. Właśnie usłyszałem trzask w moim pokoju na zapleczu.	I am so scared right now.  I just heard a crashing noise in my back room.	afraid	fear	4	bad	1
hit:2987_conv:5975	Tak się cieszę, że mam dzieci. Byłem dzikim dzieckiem i uspokoili mnie.	I am so happy I have kids. I was a wild child and they calmed me down.	grateful	happiness	0	good	0
hit:11552_conv:23105	Obudziłem się dziś rano i zobaczyłem zadrapanie na moim samochodzie, nie wiem, jak się tam dostało.	I woke up this morning and saw a scratch on my car, I do not know how it got there.	proud	other_good	2	good	0
hit:7462_conv:14924	Jestem szczęśliwa, moja córka i mam dobry związek. To fajny dzieciak	I am happy my daughter and I have a good relationship. She is a cool kid	grateful	happiness	0	good	0
hit:11204_conv:22409	Kilka tygodni temu obawiałem się, kiedy wsiadłem na tę rozklekotaną kolejkę górską. To był stary drewniany i trochę przerażający.	I was apprehensive a few weeks ago when I got on this rickety roller coaster. It was an old wooden one and kind of scary.	apprehensive	fear	4	bad	1
hit:5344_conv:10688	Miesiąc temu odbyłem rozmowę kwalifikacyjną, która była bardzo ważna dla mojej kariery. Wszedłem tam bardzo zdenerwowany. Myślę, że to się nie pokazało, ponieważ w końcu dostałem pracę.	I had a job interview a month back that was very important to my career. I went in there extremely nervous. I guess that didn't show because I ended up getting the job.	apprehensive	fear	4	bad	1
hit:7638_conv:15276	Szedłem na spotkanie i moje ubrania zmokły podczas deszczu	I was going for a meeting and my cloths got wet while it rained	embarrassed	guilt	6	bad	1
hit:1470_conv:2941	Uwielbiam leżeć rano w łóżku	I love laying in my bed in the morning	content	happiness	0	good	0
7649-3	Zgadza się i skręć w lewo na światłach.	That's right , and turn left at the lights .	no emotion	neutral	8	neutral	2
hit:6878_conv:13757	Udałem się na trzecią wycieczkę do sklepu spożywczego, mając nadzieję, że w tym tygodniu znajdę dobre artykuły na wyprzedaży, tak jak zwykle. Jednak nic nie znalazłem! Super rozczarowany. To nie był dobry tydzień na zdobywanie informacji o odprawie.	I took a thrid trip to the grocery store hoping to find good clearance items this week like I normally do. However I didn't find anything! Super disappointed. It's not been a good week to get clearance stuff.	disappointed	sadness	5	bad	1
hit:8633_conv:17267	Nie mogę uwierzyć, że przegapiłem dostawę paczki. Byłem w domu cały dzień! Teraz muszę go odebrać na poczcie.	I can't believe I missed my package delivery. I was home all day! Now I have to go pick it up at the post office.	angry	anger	3	bad	1
hit:11379_conv:22758	Jakiś czas temu poszedłem do lokalnej pizzerii. Po zamówieniu zauważyłem działający rożen w czyjejś pizzy, która nie była moja.	I went into a local pizza place a while back. After ordering I noticed a working spit in someones pizza that wasn't mine.	disgusted	other_bad	7	bad	1
hit:1134_conv:2269	Niedawno awansowałem w mojej pracy. To było coś, o co starałem się uzyskać od dawna.	I recently got promoted at my job. It was something I had been trying to obtain for a long time.	joyful	happiness	0	good	0
hit:3911_conv:7822	W tym roku do zespołu dołączy moja córka. Będzie świetnie sobie radzić!	My daughter is joining the band this year. She is going to do great!	confident	confidence	1	good	0
9361-2	Zadzwoniłem do sklepu elektronicznego, aby dowiedzieć się, o której godzinie są zamykane, i zajęło mi dwadzieścia minut, aby dostać to, czego chciałem!	I called the electronics shop to find out what time they close , and it took me twenty minutes to get what I wanted !	no emotion	neutral	8	neutral	2
hit:12166_conv:24332	Kilka tygodni temu przeszedłem operację i wszyscy moi przyjaciele przynieśli mi zapiekanki, abym nie musiała gotować obiadu, kiedy leczyłem.	I had surgery a few weeks ago, and my friends all brought me casseroles so that I wouldn't have to make dinner as I healed.	grateful	happiness	0	good	0
hit:9696_conv:19393	Spotykam się dzisiaj z szefem, myśląc, że dostaję podwyżkę. Okazuje się, że chcieli ze mną porozmawiać o kliencie.	I meet with my boss today thinking I was getting a raise. Turns out they just wanted to talk with me about a client.	disappointed	sadness	5	bad	1
hit:11521_conv:23042	Ostatnio staram się zbudować masę mięśniową i wyszczuplić. Nie jestem przyzwyczajony do ćwiczeń tak dużo jak teraz, ale robię duże postępy i wierzę w siebie.	I've been trying to build my muscle mass lately and get leaner. I'm not used to working out as much as I am now but I'm making a lot of progress and I've been believing in myself.	confident	confidence	1	good	0
hit:1551_conv:3103	Mój syn ukradł mi 600 dolarów!	My son stole $600 from me!	furious	anger	3	bad	1
hit:10421_conv:20842	Tak bardzo kocham moją rodzinę! Są centrum wszystkiego, co osiągam w życiu.	I love my family so much! They are the center of everything I accomplish in life.	faithful	other_good	2	good	0
hit:615_conv:1230	Przez ostatnie kilka miesięcy radziłem sobie całkiem nieźle i wszystko szło dobrze, więc jestem szczęśliwy	Ive been doing quite well for myself the past few months and things have been going well so im happy	content	happiness	0	good	0
hit:1604_conv:3209	Zrobiłem listę wszystkiego, czego potrzebowałem do mojego akademika. Mam nadzieję, że jestem gotowy i niczego nie zapomniałem.	I made a list of everything I needed for my college dorm. Hopefully I am ready and didn't forget anything.	prepared	confidence	1	good	0
hit:12104_conv:24209	Poszedłem do kina z przyjacielem, najwyraźniej widział go już wcześniej i wciąż rozmawia i mówi mi, co się wydarzy w filmie.	I went to the movie with a friend, apparently he saw the movie before and keeps chatting and telling me what's going to happen in the movie.	annoyed	anger	3	bad	1
hit:7370_conv:14740	Żadnych planów na ten weekend i po prostu siedzenie tutaj sam.	No real plans this weekend and just sitting here alone.	lonely	sadness	5	bad	1
hit:1330_conv:2660	Po raz trzeci w ciągu dwóch tygodni ktoś w pracy ukradł mi lunch i nikt się do tego nie przyzna.	For the third time in two weeks someone at work has stolen my lunch and no one will admit it.	furious	anger	3	bad	1
hit:10926_conv:21853	Jeden z moich kotów kupił pilota do telewizora.	One of my cat's pooped on the tv remote.	disgusted	other_bad	7	bad	1
hit:5599_conv:11199	Zjadłem ostatni ramen, jaki mieliśmy.	I ate the last ramen we had.	guilty	guilt	6	bad	1
704-2	czy myślisz, że jest coś, co możemy zrobić, aby odwrócić szkody, które już zostały wyrządzone?	do you think there's anything we can do to reverse the damage that's been done already ?	no emotion	neutral	8	neutral	2
hit:1871_conv:3742	W końcu dostałem pracę	I finally got a job	proud	other_good	2	good	0
